CustomerID,Segment,JoinYear
590,E-ticarət,2023
591,Korporativ,2023
592,E-ticarət,2022
593,Fərdi,2024
594,Fərdi,2024
595,Fərdi,2022
596,E-ticarət,2024
597,Pərakəndə (Retail),2023
598,Korporativ,2022
599,E-ticarət,2025
600,E-ticarət,2025
601,E-ticarət,2024
602,Pərakəndə (Retail),2022
603,Korporativ,2024
604,Korporativ,2023
605,E-ticarət,2023
606,E-ticarət,2023
607,E-ticarət,2024
608,Fərdi,2024
609,E-ticarət,2023
610,E-ticarət,2024
611,E-ticarət,2025
612,Pərakəndə (Retail),2023
613,Fərdi,2024
614,Pərakəndə (Retail),2025
615,Pərakəndə (Retail),2023
616,Korporativ,2023
617,E-ticarət,2024
618,Fərdi,2024
619,Pərakəndə (Retail),2024
620,Pərakəndə (Retail),2023
621,Pərakəndə (Retail),2025
622,Pərakəndə (Retail),2022
623,Pərakəndə (Retail),2022
624,Fərdi,2024
625,Fərdi,2023
626,Pərakəndə (Retail),2023
627,Pərakəndə (Retail),2023
628,E-ticarət,2023
629,Pərakəndə (Retail),2022
630,E-ticarət,2025
631,Korporativ,2023
632,Fərdi,2024
633,Korporativ,2024
634,Korporativ,2025
635,E-ticarət,2022
636,E-ticarət,2025
637,Pərakəndə (Retail),2024
638,E-ticarət,2024
639,E-ticarət,2024
640,Korporativ,2024
641,Pərakəndə (Retail),2023
642,Pərakəndə (Retail),2024
643,E-ticarət,2024
644,Korporativ,2024
645,Korporativ,2025
646,Pərakəndə (Retail),2023
647,Pərakəndə (Retail),2025
648,E-ticarət,2022
649,Korporativ,2022
650,Korporativ,2022
651,Fərdi,2023
652,Korporativ,2024
653,Korporativ,2022
654,E-ticarət,2022
655,Korporativ,2025
656,Pərakəndə (Retail),2024
657,Korporativ,2024
658,Pərakəndə (Retail),2025
659,Pərakəndə (Retail),2024
660,Korporativ,2022
661,Korporativ,2023
662,Fərdi,2024
663,E-ticarət,2023
664,Korporativ,2024
665,Fərdi,2022
666,E-ticarət,2023
667,E-ticarət,2024
668,E-ticarət,2024
669,Fərdi,2024
670,E-ticarət,2024
671,E-ticarət,2022
672,E-ticarət,2022
673,E-ticarət,2025
674,E-ticarət,2024
675,Korporativ,2022
676,Korporativ,2024
677,E-ticarət,2023
678,E-ticarət,2023
679,E-ticarət,2022
680,E-ticarət,2024
681,Korporativ,2024
682,Pərakəndə (Retail),2023
683,E-ticarət,2025
684,Korporativ,2023
685,E-ticarət,2023
686,Fərdi,2023
687,Pərakəndə (Retail),2023
688,Korporativ,2022
689,E-ticarət,2024
690,Fərdi,2024
691,E-ticarət,2024
692,E-ticarət,2023
693,E-ticarət,2022
694,E-ticarət,2023
695,Fərdi,2023
696,Pərakəndə (Retail),2024
697,E-ticarət,2023
698,Korporativ,2024
699,Fərdi,2025
700,Fərdi,2023
701,Pərakəndə (Retail),2024
702,Fərdi,2024
703,Fərdi,2024
704,Pərakəndə (Retail),2024
705,E-ticarət,2023
706,E-ticarət,2023
707,Fərdi,2023
708,E-ticarət,2023
709,Fərdi,2024
710,E-ticarət,2022
711,E-ticarət,2025
712,E-ticarət,2024
713,E-ticarət,2023
714,Fərdi,2023
715,Fərdi,2025
716,Pərakəndə (Retail),2024
717,Pərakəndə (Retail),2024
718,E-ticarət,2023
719,Korporativ,2023
720,Korporativ,2022
721,Korporativ,2023
722,E-ticarət,2024
723,Korporativ,2024
724,Korporativ,2024
725,Fərdi,2025
726,Fərdi,2024
727,Korporativ,2023
728,Pərakəndə (Retail),2023
729,Pərakəndə (Retail),2025
730,E-ticarət,2022
731,Fərdi,2025
732,Fərdi,2024
733,Korporativ,2022
734,E-ticarət,2024
735,E-ticarət,2025
736,Korporativ,2024
737,E-ticarət,2025
738,Fərdi,2025
739,E-ticarət,2023
740,E-ticarət,2023
741,Fərdi,2025
742,Pərakəndə (Retail),2024
743,E-ticarət,2022
744,E-ticarət,2022
745,E-ticarət,2024
746,Pərakəndə (Retail),2025
747,E-ticarət,2024
748,Korporativ,2024
749,Fərdi,2022
750,E-ticarət,2023
751,Fərdi,2025
752,Fərdi,2023
753,E-ticarət,2023
754,Fərdi,2022
755,Korporativ,2024
756,Fərdi,2025
757,Korporativ,2023
758,Pərakəndə (Retail),2023
759,Korporativ,2024
760,Fərdi,2025
761,Pərakəndə (Retail),2022
762,Korporativ,2023
763,Fərdi,2023
764,E-ticarət,2025
765,E-ticarət,2023
766,E-ticarət,2022
767,E-ticarət,2024
768,E-ticarət,2024
769,Fərdi,2022
770,E-ticarət,2025
771,Pərakəndə (Retail),2023
772,E-ticarət,2024
773,Fərdi,2023
774,Fərdi,2024
775,Korporativ,2023
776,Fərdi,2025
777,E-ticarət,2024
778,Pərakəndə (Retail),2024
779,E-ticarət,2024
780,Fərdi,2024
781,E-ticarət,2022
782,Korporativ,2023
783,Pərakəndə (Retail),2025
784,E-ticarət,2022
785,E-ticarət,2024
786,E-ticarət,2025
787,E-ticarət,2022
788,Korporativ,2024
789,E-ticarət,2023
790,E-ticarət,2024
791,E-ticarət,2022
792,Pərakəndə (Retail),2022
793,E-ticarət,2024
794,E-ticarət,2024
795,E-ticarət,2024
796,Korporativ,2024
797,Fərdi,2022
798,E-ticarət,2024
799,E-ticarət,2023
800,Pərakəndə (Retail),2025
801,Pərakəndə (Retail),2024
802,E-ticarət,2024
803,Pərakəndə (Retail),2025
804,Fərdi,2022
805,E-ticarət,2024
806,Pərakəndə (Retail),2023
807,Pərakəndə (Retail),2025
808,Korporativ,2023
809,E-ticarət,2024
810,E-ticarət,2025
811,Fərdi,2022
812,Fərdi,2023
813,Pərakəndə (Retail),2024
814,Korporativ,2023
815,Pərakəndə (Retail),2023
816,Korporativ,2023
817,E-ticarət,2022
818,E-ticarət,2025
819,Fərdi,2024
820,E-ticarət,2022
821,Pərakəndə (Retail),2023
822,E-ticarət,2023
823,E-ticarət,2023
824,E-ticarət,2023
825,Korporativ,2023
826,Fərdi,2023
827,E-ticarət,2024
828,Fərdi,2023
829,Korporativ,2024
830,Fərdi,2024
831,E-ticarət,2024
832,Fərdi,2024
833,Pərakəndə (Retail),2024
834,E-ticarət,2025
835,E-ticarət,2024
836,Fərdi,2024
837,Fərdi,2024
838,E-ticarət,2024
839,Pərakəndə (Retail),2023
840,Fərdi,2023
841,Fərdi,2023
842,Fərdi,2025
843,Pərakəndə (Retail),2024
844,Korporativ,2025
845,E-ticarət,2024
846,E-ticarət,2023
847,Pərakəndə (Retail),2022
848,Pərakəndə (Retail),2024
849,E-ticarət,2024
850,Fərdi,2025
851,Pərakəndə (Retail),2023
852,Korporativ,2024
853,Korporativ,2024
854,Korporativ,2024
855,E-ticarət,2024
856,E-ticarət,2024
857,E-ticarət,2023
858,E-ticarət,2024
859,Korporativ,2024
860,Korporativ,2025
861,E-ticarət,2024
862,Pərakəndə (Retail),2023
863,E-ticarət,2023
864,Fərdi,2025
865,Fərdi,2024
866,E-ticarət,2025
867,Korporativ,2023
868,E-ticarət,2024
869,Korporativ,2024
870,Pərakəndə (Retail),2025
871,E-ticarət,2023
872,Korporativ,2024
873,E-ticarət,2024
874,E-ticarət,2022
875,Pərakəndə (Retail),2024
876,E-ticarət,2024
877,Korporativ,2025
878,Korporativ,2023
879,Fərdi,2023
880,E-ticarət,2022
881,Korporativ,2023
882,Pərakəndə (Retail),2023
883,E-ticarət,2024
884,Fərdi,2023
885,Pərakəndə (Retail),2025
886,Pərakəndə (Retail),2025
887,Pərakəndə (Retail),2024
888,Fərdi,2025
889,Fərdi,2024
890,Pərakəndə (Retail),2024
891,Pərakəndə (Retail),2023
892,E-ticarət,2023
893,E-ticarət,2024
894,Korporativ,2025
895,E-ticarət,2023
896,Korporativ,2025
897,E-ticarət,2024
898,E-ticarət,2022
899,Pərakəndə (Retail),2025
900,Fərdi,2024
901,E-ticarət,2023
902,Korporativ,2024
903,Fərdi,2022
904,E-ticarət,2024
905,Fərdi,2023
906,E-ticarət,2023
907,E-ticarət,2025
908,Fərdi,2024
909,E-ticarət,2023
910,Pərakəndə (Retail),2023
911,Fərdi,2025
912,E-ticarət,2023
913,Pərakəndə (Retail),2023
914,Fərdi,2022
915,E-ticarət,2022
916,Fərdi,2024
917,Korporativ,2024
918,Pərakəndə (Retail),2023
919,Pərakəndə (Retail),2024
920,E-ticarət,2023
921,Fərdi,2025
922,Fərdi,2025
923,Pərakəndə (Retail),2023
924,Pərakəndə (Retail),2025
925,Pərakəndə (Retail),2024
926,Korporativ,2023
927,Pərakəndə (Retail),2023
928,Korporativ,2023
929,Korporativ,2024
930,Pərakəndə (Retail),2025
931,Korporativ,2024
932,E-ticarət,2025
933,E-ticarət,2024
934,Korporativ,2024
935,Pərakəndə (Retail),2024
936,Korporativ,2023
937,Pərakəndə (Retail),2024
938,Korporativ,2024
939,Pərakəndə (Retail),2022
940,E-ticarət,2024
941,Korporativ,2023
942,Pərakəndə (Retail),2024
943,Fərdi,2024
944,Korporativ,2023
945,E-ticarət,2023
946,E-ticarət,2023
947,E-ticarət,2025
948,Pərakəndə (Retail),2022
949,E-ticarət,2025
950,Korporativ,2023
951,Korporativ,2025
952,E-ticarət,2025
953,E-ticarət,2023
954,E-ticarət,2024
955,E-ticarət,2023
956,E-ticarət,2024
957,Fərdi,2022
958,E-ticarət,2022
959,Fərdi,2022
960,E-ticarət,2023
961,Fərdi,2023
962,Pərakəndə (Retail),2024
963,Pərakəndə (Retail),2025
964,Pərakəndə (Retail),2023
965,Korporativ,2024
966,Korporativ,2023
967,Korporativ,2024
968,Korporativ,2025
969,E-ticarət,2025
970,E-ticarət,2025
971,Pərakəndə (Retail),2022
972,Korporativ,2024
973,Pərakəndə (Retail),2024
974,Pərakəndə (Retail),2023
975,Fərdi,2025
976,E-ticarət,2022
977,E-ticarət,2024
978,E-ticarət,2023
979,Korporativ,2023
980,Fərdi,2024
981,E-ticarət,2024
982,Pərakəndə (Retail),2023
983,E-ticarət,2023
984,Pərakəndə (Retail),2024
985,Pərakəndə (Retail),2022
986,E-ticarət,2023
987,Korporativ,2025
988,E-ticarət,2024
989,E-ticarət,2023
990,Korporativ,2024
991,E-ticarət,2024
992,E-ticarət,2025
993,Korporativ,2024
994,Korporativ,2023
995,Pərakəndə (Retail),2023
996,E-ticarət,2023
997,Pərakəndə (Retail),2024
998,E-ticarət,2022
999,E-ticarət,2024
1000,Fərdi,2023
1001,E-ticarət,2023
1002,Korporativ,2025
1003,Korporativ,2023
1004,E-ticarət,2022
1005,E-ticarət,2024
1006,E-ticarət,2022
1007,Fərdi,2024
1008,Korporativ,2024
1009,E-ticarət,2023
1010,Korporativ,2024
1011,Pərakəndə (Retail),2024
1012,E-ticarət,2023
1013,Korporativ,2022
1014,Korporativ,2023
1015,Fərdi,2025
1016,E-ticarət,2023
1017,E-ticarət,2024
1018,E-ticarət,2024
1019,Pərakəndə (Retail),2024
1020,E-ticarət,2022
1021,Korporativ,2023
1022,Pərakəndə (Retail),2024
1023,Pərakəndə (Retail),2023
1024,Korporativ,2023
1025,Fərdi,2022
1026,Korporativ,2023
1027,Korporativ,2025
1028,E-ticarət,2022
1029,Fərdi,2023
1030,E-ticarət,2023
1031,E-ticarət,2024
1032,E-ticarət,2024
1033,Pərakəndə (Retail),2023
1034,E-ticarət,2024
1035,E-ticarət,2024
1036,E-ticarət,2025
1037,E-ticarət,2024
1038,Korporativ,2023
1039,Pərakəndə (Retail),2023
1040,E-ticarət,2022
1041,Korporativ,2023
1042,Pərakəndə (Retail),2025
1043,E-ticarət,2023
1044,E-ticarət,2023
1045,Fərdi,2024
1046,Korporativ,2024
1047,E-ticarət,2022
1048,Korporativ,2023
1049,E-ticarət,2023
1050,Korporativ,2024
1051,E-ticarət,2022
1052,E-ticarət,2023
1053,E-ticarət,2024
1054,Fərdi,2023
1055,Pərakəndə (Retail),2024
1056,E-ticarət,2023
1057,E-ticarət,2023
1058,Pərakəndə (Retail),2025
1059,E-ticarət,2024
1060,E-ticarət,2022
1061,Fərdi,2024
1062,E-ticarət,2024
1063,Pərakəndə (Retail),2024
1064,Fərdi,2023
1065,E-ticarət,2025
1066,E-ticarət,2023
1067,E-ticarət,2023
1068,Fərdi,2023
1069,Fərdi,2022
1070,Pərakəndə (Retail),2024
1071,E-ticarət,2022
1072,Pərakəndə (Retail),2022
1073,Fərdi,2025
1074,Pərakəndə (Retail),2023
1075,Fərdi,2022
1076,Fərdi,2022
1077,Pərakəndə (Retail),2022
1078,Korporativ,2023
1079,E-ticarət,2024
1080,E-ticarət,2023
1081,Pərakəndə (Retail),2022
1082,E-ticarət,2024
1083,Fərdi,2024
1084,Fərdi,2023
1085,Pərakəndə (Retail),2024
1086,E-ticarət,2023
1087,E-ticarət,2023
1088,E-ticarət,2024
1089,Pərakəndə (Retail),2023
1090,Pərakəndə (Retail),2025
1091,Fərdi,2022
1092,Korporativ,2024
1093,Fərdi,2022
1094,Fərdi,2024
1095,E-ticarət,2024
1096,Fərdi,2024
