DeliveryID,Date,HubID,VehicleID,DriverID,CustomerID,PackageCategory,DistanceKm,WeightKg,PromisedHours,ActualHours,Status,FailureReason,FuelCost,DeliveryCost,Revenue,CustomerRating
33,2023-10-03,6,54,88,456,Elektronika,6.5,3.44,24,13.5,Vaxtında,,0.23,3.58,8.4,4.3
34,2024-10-13,6,63,86,490,Elektronika,21.3,16.12,24,23.2,Vaxtında,,1.92,13.4,26.32,5.0
35,2023-10-26,5,49,66,788,Geyim,7.5,9.91,4,3.2,Vaxtında,,0.98,7.12,14.72,4.4
36,2025-03-09,1,2,10,540,Qida,3.9,16.17,4,2.9,Vaxtında,,0.14,3.05,9.6,4.7
37,2023-04-01,1,8,12,3,Sənəd,11.7,9.75,24,21.9,Vaxtında,,0.41,5.59,13.49,4.2
38,2024-04-24,5,50,60,1385,Elektronika,11.9,7.49,48,23.9,Vaxtında,,1.07,7.97,17.35,2.7
39,2024-07-26,1,7,17,896,Geyim,11.2,19.35,48,46.8,Vaxtında,,1.01,7.94,17.94,4.5
40,2024-04-02,1,2,16,238,Elektronika,11.4,12.54,24,13.6,Vaxtında,,0.4,5.57,14.85,3.7
41,2024-03-26,3,29,46,1393,Mebel/İri həcmli,5.2,0.93,4,3.4,Vaxtında,,0.68,5.13,12.43,4.5
42,2023-12-31,1,13,13,299,Qida,16.5,1.14,4,2.5,Vaxtında,,3.63,19.38,35.24,4.4
43,2025-05-08,5,51,61,828,Elektronika,5.8,4.51,4,1.7,Vaxtında,,0.52,4.53,11.74,5.0
44,2024-11-05,4,44,57,142,Sənəd,12.0,9.4,48,44.2,Vaxtında,,1.56,10.48,19.84,4.0
45,2023-12-17,4,44,54,571,Kosmetika,12.7,8.58,24,10.5,Vaxtında,,1.65,10.98,20.73,3.7
46,2024-10-16,5,48,68,1144,Elektronika,14.4,15.0,24,12.3,Vaxtında,,0.5,6.69,15.44,5.0
47,2024-02-04,1,3,7,218,Elektronika,9.4,2.56,48,37.3,Vaxtında,,1.22,8.33,16.4,4.4
48,2023-09-10,4,36,53,1363,Elektronika,13.2,21.11,24,19.9,Vaxtında,,0.46,6.45,15.3,4.9
49,2025-02-19,2,15,35,894,Elektronika,9.3,4.85,24,9.4,Vaxtında,,0.33,4.6,12.31,4.9
50,2025-05-30,4,40,56,845,Elektronika,8.8,2.26,48,21.9,Vaxtında,,0.79,6.11,13.92,5.0
51,2025-03-13,1,6,17,826,Kosmetika,11.9,34.62,24,13.1,Vaxtında,,0.42,6.4,13.28,5.0
52,2024-04-03,4,41,57,553,Sənəd,9.4,6.72,4,3.1,Vaxtında,,0.33,4.69,9.99,2.9
53,2024-11-29,6,63,79,559,Sənəd,6.3,2.52,24,8.1,Vaxtında,,0.57,4.74,11.74,3.8
54,2024-05-13,1,14,4,949,Geyim,12.6,5.69,24,17.1,Vaxtında,,0.44,5.78,12.94,5.0
55,2024-05-22,1,11,16,1414,Elektronika,1.6,5.29,24,12.7,Vaxtında,,0.06,1.92,6.25,4.2
56,2023-10-31,1,14,4,195,Geyim,18.5,4.85,24,18.7,Vaxtında,,0.65,7.82,17.03,5.0
57,2024-05-15,2,23,20,724,Kosmetika,10.4,3.37,48,35.4,Vaxtında,,0.94,7.02,16.88,4.7
58,2025-03-13,1,6,14,899,Geyim,8.0,10.35,24,18.5,Vaxtında,,0.28,4.31,11.18,4.0
59,2024-08-20,5,51,68,473,Qida,23.2,16.55,24,13.9,Vaxtında,,2.09,14.46,28.21,4.4
60,2023-06-15,2,16,22,65,Qida,7.6,4.53,24,14.2,Vaxtında,,0.27,4.0,9.74,4.8
61,2024-02-19,3,30,43,1104,Elektronika,14.9,6.44,48,25.1,Uğursuz,Vaxt pəncərəsi buraxıldı,1.94,12.57,3.81,
62,2024-04-06,4,44,53,620,Elektronika,13.0,12.44,24,19.3,Vaxtında,,1.69,11.32,24.39,4.5
63,2023-04-24,2,23,18,735,Sənəd,14.7,1.69,24,23.6,Vaxtında,,1.32,9.34,20.14,4.9
64,2024-03-08,2,23,33,974,Elektronika,18.6,11.91,72,34.4,Vaxtında,,1.67,11.79,24.31,4.8
65,2023-12-22,4,41,50,740,Mebel/İri həcmli,21.0,11.16,24,12.5,Vaxtında,,0.74,8.88,18.7,4.7
66,2024-11-25,5,52,69,404,Mebel/İri həcmli,11.0,2.6,72,63.3,Vaxtında,,2.42,13.38,25.67,4.9
67,2023-07-26,1,12,7,162,Geyim,21.0,0.85,4,2.1,Vaxtında,,2.73,16.98,32.98,3.3
68,2025-02-06,1,8,1,940,Sənəd,3.3,6.98,24,14.8,Vaxtında,,0.12,2.56,5.9,4.8
69,2023-08-23,1,14,9,313,Kosmetika,5.9,5.02,4,4.6,Gecikmiş,,0.21,3.42,9.62,4.3
70,2024-03-17,2,17,29,974,Kosmetika,6.3,3.13,24,8.2,Vaxtında,,0.57,4.76,10.29,4.6
71,2023-12-21,1,12,13,1314,Mebel/İri həcmli,15.7,5.45,24,15.6,Vaxtında,,2.04,13.14,26.89,5.0
72,2024-05-29,4,39,56,974,Qida,6.2,27.38,4,2.8,Vaxtında,,0.22,4.19,11.19,3.6
73,2023-07-27,5,52,66,586,Mebel/İri həcmli,15.3,2.87,48,20.4,Vaxtında,,3.37,18.12,32.83,5.0
74,2024-12-09,1,3,8,21,Elektronika,4.1,8.37,48,31.3,Vaxtında,,0.53,4.53,10.92,3.6
75,2025-05-02,3,27,40,144,Elektronika,6.7,2.9,48,22.9,Vaxtında,,1.47,8.66,15.87,4.7
76,2023-05-05,2,15,22,603,Geyim,8.6,14.63,48,46.8,Vaxtında,,0.3,4.65,10.82,4.3
77,2023-05-18,3,27,37,172,Geyim,30.2,9.31,48,52.9,Gecikmiş,,6.64,34.7,66.34,2.6
78,2023-12-05,3,26,41,830,Kosmetika,10.2,12.95,48,35.1,Vaxtında,,0.92,7.2,15.96,5.0
79,2024-06-20,5,48,69,1134,Sənəd,12.4,2.41,4,3.1,Vaxtında,,0.43,5.61,11.74,4.8
80,2023-03-09,1,5,13,1450,Sənəd,9.2,14.78,24,19.5,Vaxtında,,0.83,6.7,15.54,4.5
81,2024-07-26,1,9,9,985,Sənəd,7.2,10.0,24,14.4,Vaxtında,,0.25,4.02,10.46,4.7
82,2024-06-24,3,26,37,26,Qida,17.6,11.75,48,37.8,Vaxtında,,1.58,11.23,21.51,4.0
83,2024-01-18,2,23,34,191,Sənəd,11.2,4.55,48,31.1,Vaxtında,,1.01,7.5,15.5,4.8
84,2023-01-19,1,1,3,952,Elektronika,19.8,15.63,24,21.7,Vaxtında,,2.57,16.52,31.91,4.2
85,2024-11-13,1,13,15,5,Geyim,16.7,6.47,48,36.6,Vaxtında,,3.67,19.76,37.53,3.8
86,2024-03-25,3,30,39,1253,Sənəd,6.3,23.88,24,16.1,Vaxtında,,0.82,6.64,12.41,4.3
87,2023-03-15,2,21,19,862,Sənəd,10.7,1.47,48,8.0,Vaxtında,,0.37,4.99,13.68,4.9
88,2024-07-26,6,65,78,1227,Sənəd,2.2,8.51,24,7.7,Vaxtında,,0.29,3.11,6.86,4.4
89,2024-10-26,2,15,30,783,Elektronika,23.6,27.46,24,23.1,Vaxtında,,0.83,10.28,23.72,5.0
90,2023-10-03,1,12,11,756,Geyim,9.0,18.79,72,44.3,Vaxtında,,1.17,8.51,15.58,3.2
91,2023-02-17,3,34,40,172,Kosmetika,8.5,2.65,4,3.2,Vaxtında,,0.76,5.95,14.79,3.3
92,2023-07-30,1,4,14,242,Mebel/İri həcmli,9.6,9.14,24,22.0,Vaxtında,,0.86,6.75,14.48,4.4
93,2025-05-04,3,31,45,582,Mebel/İri həcmli,12.6,2.09,24,16.9,Vaxtında,,1.13,8.19,15.58,3.5
94,2024-10-12,3,33,44,114,Kosmetika,11.1,0.75,48,28.4,Vaxtında,,2.44,13.43,28.17,4.3
95,2024-09-13,2,16,30,1262,Sənəd,10.6,3.62,24,21.3,Vaxtında,,0.37,5.02,14.03,4.5
96,2024-11-25,5,49,59,857,Qida,18.2,26.7,48,39.4,Vaxtında,,2.37,15.65,31.59,4.0
97,2024-06-23,1,13,4,1207,Elektronika,13.1,21.72,48,12.2,Vaxtında,,2.88,16.26,30.23,5.0
98,2024-12-09,6,62,79,686,Kosmetika,1.3,12.77,48,24.5,Vaxtında,,0.05,2.04,4.14,4.8
99,2023-07-10,5,45,60,65,Qida,14.5,16.26,24,18.8,Vaxtında,,1.3,9.66,18.26,5.0
100,2023-11-11,2,23,20,1332,Kosmetika,14.9,9.08,72,81.3,Gecikmiş,,1.34,9.67,19.99,4.2
101,2025-06-19,1,9,2,108,Qida,16.1,9.2,48,33.2,Vaxtında,,0.56,7.11,17.51,4.9
102,2024-07-16,1,2,1,145,Mebel/İri həcmli,28.0,3.09,4,4.4,Gecikmiş,,0.98,11.09,24.89,3.5
103,2024-10-22,2,22,18,1346,Kosmetika,6.3,10.77,4,3.0,Vaxtında,,0.22,3.73,10.42,3.8
104,2025-02-18,3,35,36,289,Geyim,9.5,2.11,48,40.6,Vaxtında,,0.86,6.49,14.72,4.5
105,2024-07-15,1,11,13,827,Geyim,6.8,4.3,24,16.3,Vaxtında,,0.24,3.71,8.21,4.3
106,2025-06-18,6,58,79,470,Elektronika,12.6,6.14,24,20.5,Vaxtında,,1.13,8.31,16.89,4.3
107,2025-01-27,1,11,12,1325,Sənəd,11.3,22.3,24,25.4,Gecikmiş,,0.4,5.82,12.9,2.7
108,2023-04-23,1,11,14,956,Elektronika,10.3,23.53,24,16.8,Uğursuz,Vaxt pəncərəsi buraxıldı,0.36,5.51,1.65,
109,2023-06-19,1,11,7,1427,Elektronika,21.1,2.35,48,44.5,Vaxtında,,0.74,8.66,18.0,4.4
110,2024-04-12,1,8,16,377,Kosmetika,10.7,15.2,24,17.0,Vaxtında,,0.37,5.4,13.51,5.0
111,2024-11-08,5,45,66,293,Geyim,22.4,4.06,72,27.8,Vaxtında,,2.02,13.64,28.47,4.3
112,2023-01-14,3,32,39,283,Qida,11.8,11.31,72,54.9,Vaxtında,,0.41,5.67,13.81,2.9
113,2024-12-15,1,7,4,781,Mebel/İri həcmli,14.7,0.88,24,20.1,Vaxtında,,1.32,9.31,19.05,4.7
114,2023-10-15,5,50,59,1046,Elektronika,8.2,4.82,72,47.9,Vaxtında,,0.74,5.85,13.74,5.0
115,2025-06-25,5,49,62,1041,Geyim,8.0,0.54,4,1.9,Vaxtında,,1.04,7.22,16.83,4.7
116,2023-07-08,4,41,53,127,Qida,16.7,6.77,24,24.1,Gecikmiş,,0.58,7.25,17.71,3.3
117,2023-06-04,5,53,60,1330,Geyim,10.1,9.95,4,4.8,Gecikmiş,,1.31,9.07,18.85,3.3
118,2024-07-20,3,26,42,713,Kosmetika,5.3,2.81,48,47.8,Vaxtında,,0.48,4.2,11.2,4.3
119,2024-11-24,3,26,38,125,Qida,11.0,9.63,24,10.2,Vaxtında,,0.99,7.54,16.03,5.0
120,2024-12-22,2,25,30,465,Elektronika,16.0,9.41,72,12.4,Vaxtında,,2.08,13.48,27.64,3.9
121,2025-06-06,1,9,7,136,Mebel/İri həcmli,8.8,6.21,48,44.7,Vaxtında,,0.31,4.47,9.28,4.0
122,2024-04-15,3,26,43,514,Geyim,12.4,31.56,48,34.7,Vaxtında,,1.12,8.97,17.16,5.0
123,2023-03-16,5,49,70,30,Sənəd,19.4,1.13,4,3.1,Vaxtında,,2.52,15.78,30.45,4.7
124,2023-10-04,3,35,43,1123,Geyim,13.7,13.73,24,14.8,Vaxtında,,1.23,9.15,18.31,4.8
125,2024-10-06,6,67,79,794,Elektronika,17.5,15.5,24,6.5,Vaxtında,,3.85,20.92,37.78,4.7
126,2023-12-09,2,24,32,804,Mebel/İri həcmli,20.0,13.93,48,33.4,Vaxtında,,1.8,12.62,24.54,5.0
127,2024-02-29,4,40,50,860,Elektronika,21.3,20.83,24,15.1,Vaxtında,,1.92,13.54,27.77,4.7
128,2024-07-24,4,43,55,193,Mebel/İri həcmli,10.2,11.2,4,4.1,Gecikmiş,,0.36,5.11,10.98,3.3
129,2024-05-25,4,40,50,1447,Kosmetika,18.9,7.25,4,4.2,Gecikmiş,,1.7,11.81,22.38,3.8
130,2025-05-06,4,44,49,664,Mebel/İri həcmli,7.3,5.51,48,11.8,Vaxtında,,0.95,6.84,14.28,4.8
131,2023-07-01,1,8,11,682,Geyim,10.9,11.34,48,38.5,Vaxtında,,0.38,5.36,14.04,4.7
132,2024-04-02,1,6,16,814,Kosmetika,14.8,14.46,4,4.4,Gecikmiş,,0.52,6.81,14.5,3.4
133,2025-04-30,6,62,74,1266,Sənəd,10.9,3.49,24,25.0,Gecikmiş,,0.38,5.12,12.48,2.7
134,2025-04-12,1,1,6,583,Geyim,18.9,16.14,4,0.8,Vaxtında,,2.46,15.86,30.72,4.1
135,2023-03-05,2,21,22,1136,Kosmetika,13.9,2.31,4,2.9,Vaxtında,,0.49,6.13,15.33,4.4
136,2025-04-18,2,25,19,1401,Qida,5.6,25.27,24,21.8,Vaxtında,,0.73,6.16,12.97,5.0
137,2023-09-17,2,22,30,1458,Qida,16.9,5.05,48,38.4,Vaxtında,,0.59,7.27,17.38,4.9
138,2023-07-12,5,46,67,271,Elektronika,14.5,4.66,4,4.8,Gecikmiş,,0.51,6.41,15.18,2.5
139,2024-10-16,4,37,56,778,Mebel/İri həcmli,12.7,1.27,48,36.6,Vaxtında,,1.65,10.76,21.04,4.4
140,2024-09-07,6,54,87,347,Qida,21.1,2.77,48,31.9,Vaxtında,,0.74,8.67,19.57,5.0
141,2024-02-10,2,22,25,285,Geyim,22.0,7.26,48,0.5,Vaxtında,,0.77,9.12,21.79,4.8
142,2024-12-26,3,29,36,634,Sənəd,23.2,5.0,24,16.0,Vaxtında,,3.02,18.75,37.16,5.0
143,2025-01-23,5,45,68,1224,Geyim,4.1,4.97,4,2.5,Vaxtında,,0.37,3.6,9.99,4.6
144,2024-12-21,6,55,78,1307,Sənəd,22.2,3.66,48,45.0,Vaxtında,,0.78,9.08,21.61,4.5
145,2023-04-03,6,55,82,400,Elektronika,13.2,7.35,72,31.9,Vaxtında,,0.46,6.04,15.35,3.2
146,2024-03-05,4,40,47,1183,Kosmetika,12.3,6.61,48,18.7,Vaxtında,,1.11,8.16,19.24,4.2
147,2024-10-15,1,1,11,248,Kosmetika,18.4,13.39,4,0.6,Vaxtında,,2.39,15.4,28.6,3.8
148,2024-03-09,1,7,17,920,Qida,12.3,4.02,24,27.6,Gecikmiş,,1.11,8.09,16.19,3.1
149,2024-02-08,5,47,62,807,Elektronika,24.7,2.07,72,72.7,Gecikmiş,,2.22,14.85,28.97,3.9
150,2024-03-09,5,53,63,497,Kosmetika,9.6,7.19,48,30.2,Uğursuz,Ünvan tapılmadı,1.25,8.62,2.62,
151,2023-04-22,4,36,48,157,Kosmetika,12.6,12.36,24,22.3,Vaxtında,,0.44,5.98,13.54,4.9
152,2024-01-10,1,8,2,834,Elektronika,3.2,12.34,24,18.0,Vaxtında,,0.11,2.69,7.92,4.4
153,2023-02-28,3,27,38,1323,Qida,9.9,5.82,48,33.1,Vaxtında,,2.18,12.26,22.36,4.8
154,2023-02-12,2,24,21,511,Elektronika,27.6,7.5,4,2.2,Vaxtında,,2.48,16.6,33.95,4.9
155,2023-07-26,2,19,25,811,Geyim,12.7,7.75,48,25.5,Vaxtında,,0.44,5.88,14.21,5.0
156,2025-02-18,2,21,31,431,Mebel/İri həcmli,9.7,5.13,24,27.2,Gecikmiş,,0.34,4.75,9.92,3.3
157,2023-10-23,6,61,80,190,Qida,9.8,15.36,48,59.1,Gecikmiş,,0.88,7.05,14.7,3.5
158,2023-04-28,1,13,11,623,Elektronika,7.7,15.78,24,23.9,Vaxtında,,1.69,10.14,20.72,4.4
159,2024-06-15,3,35,46,702,Elektronika,10.6,9.05,72,25.7,Vaxtında,,0.95,7.3,14.93,5.0
160,2023-08-10,2,15,31,457,Geyim,11.5,1.15,24,19.0,Vaxtında,,0.4,5.26,12.17,4.4
161,2023-06-15,4,44,58,1395,Elektronika,4.4,11.36,24,24.5,Gecikmiş,,0.57,4.84,12.58,3.0
162,2024-10-04,3,32,45,39,Sənəd,22.5,5.26,48,18.6,Vaxtında,,0.79,9.23,19.77,5.0
163,2023-06-05,6,67,71,70,Geyim,30.0,2.59,48,38.4,Vaxtında,,6.6,34.28,62.35,4.8
164,2023-07-03,1,5,4,1134,Elektronika,16.1,10.77,24,11.5,Vaxtında,,1.45,10.38,21.37,4.2
165,2023-03-31,1,14,9,116,Geyim,2.9,6.49,24,28.7,Gecikmiş,,0.1,2.41,6.37,3.7
166,2023-04-04,4,44,51,645,Sənəd,8.2,8.62,48,31.1,Vaxtında,,1.07,7.61,16.85,4.5
167,2023-01-13,2,21,29,170,Elektronika,10.6,8.75,24,14.4,Vaxtında,,0.37,5.17,10.6,5.0
168,2025-04-13,1,6,7,864,Elektronika,11.5,0.93,4,1.7,Vaxtında,,0.4,5.25,11.68,5.0
169,2025-03-15,3,28,44,644,Kosmetika,10.3,3.52,48,32.8,Vaxtında,,0.93,6.97,16.55,4.5
170,2025-01-11,4,39,53,290,Kosmetika,10.3,10.28,24,10.5,Vaxtında,,0.36,5.11,12.08,4.5
171,2025-04-13,1,3,10,905,Qida,7.5,7.21,24,15.7,Vaxtında,,0.98,7.04,15.73,5.0
172,2025-03-14,1,5,13,310,Kosmetika,10.5,17.83,48,24.0,Vaxtında,,0.94,7.51,14.45,3.8
173,2024-03-13,5,51,70,292,Elektronika,11.6,8.48,72,24.9,Vaxtında,,1.04,7.83,16.09,5.0
174,2024-06-21,3,33,37,636,Elektronika,14.6,1.6,48,54.2,Gecikmiş,,3.21,17.31,35.23,3.1
175,2024-08-09,1,5,4,612,Sənəd,5.5,17.48,48,18.5,Vaxtında,,0.5,4.75,12.37,5.0
176,2025-05-25,1,6,9,896,Geyim,4.0,9.45,72,73.0,Gecikmiş,,0.14,2.88,9.19,3.3
177,2025-03-21,3,33,44,1330,Geyim,12.4,15.13,24,21.2,Vaxtında,,2.73,15.29,30.2,4.5
178,2023-05-30,1,14,15,1485,Elektronika,24.1,10.05,72,66.8,Vaxtında,,0.84,9.94,23.53,4.6
179,2024-10-21,5,50,67,4,Elektronika,6.5,20.02,48,9.1,Vaxtında,,0.58,5.38,11.49,4.7
180,2023-01-08,4,42,57,770,Qida,8.0,2.22,48,51.0,Gecikmiş,,1.76,10.07,20.22,3.1
181,2023-01-29,2,24,25,238,Elektronika,10.1,5.18,4,2.4,Vaxtında,,0.91,6.91,14.23,4.9
182,2023-10-23,6,67,86,219,Elektronika,21.9,3.32,24,16.1,Vaxtında,,4.82,25.39,49.16,4.4
183,2024-12-21,2,19,30,584,Mebel/İri həcmli,6.4,29.21,24,19.2,Vaxtında,,0.22,4.32,11.84,5.0
184,2024-10-01,1,1,16,1320,Sənəd,15.3,4.75,48,22.6,Vaxtında,,1.99,12.82,24.8,4.6
185,2023-12-06,4,37,50,744,Mebel/İri həcmli,19.1,6.99,4,4.3,Gecikmiş,,2.48,15.73,29.76,3.7
186,2024-09-19,3,35,39,1474,Qida,16.2,14.66,48,26.6,Vaxtında,,1.46,10.55,22.49,5.0
187,2024-03-14,2,22,30,185,Elektronika,21.1,12.56,48,15.3,Vaxtında,,0.74,8.96,19.7,4.1
188,2023-05-24,2,18,28,1155,Sənəd,12.6,6.39,24,16.8,Vaxtında,,1.13,8.32,18.81,5.0
189,2025-04-09,2,24,23,645,Geyim,33.9,2.68,24,21.5,Vaxtında,,3.05,19.93,38.11,5.0
190,2025-01-16,1,7,16,1076,Qida,16.6,4.3,24,21.7,Vaxtında,,1.49,10.46,21.35,4.0
191,2024-06-02,4,40,52,337,Elektronika,25.8,7.69,24,22.5,Vaxtında,,2.32,15.62,31.64,4.8
192,2023-02-14,4,42,49,1237,Geyim,7.4,11.13,72,53.3,Vaxtında,,1.63,9.67,18.31,5.0
193,2023-08-27,2,23,20,382,Geyim,16.2,14.82,24,10.6,Vaxtında,,1.46,10.55,21.07,4.4
194,2023-06-04,2,23,18,687,Kosmetika,5.6,7.2,4,3.6,Vaxtında,,0.5,4.5,12.02,4.8
195,2023-06-30,2,20,23,72,Qida,5.7,1.78,24,21.4,Vaxtında,,0.51,4.39,8.92,4.7
196,2023-08-03,1,1,12,337,Geyim,19.7,10.73,48,36.8,Vaxtında,,2.56,16.3,31.3,4.0
197,2023-03-29,1,13,10,706,Kosmetika,8.4,3.81,48,30.2,Vaxtında,,1.85,10.55,21.15,4.9
198,2023-09-13,1,6,17,755,Elektronika,12.5,3.46,72,31.0,Vaxtında,,0.44,5.68,14.06,3.8
199,2024-05-25,2,19,23,671,Mebel/İri həcmli,20.1,17.0,24,10.1,Vaxtında,,0.7,8.74,19.92,4.1
200,2023-03-14,3,30,45,202,Elektronika,5.5,19.54,24,14.7,Vaxtında,,0.72,5.91,14.65,4.2
201,2023-06-28,4,43,57,1476,Geyim,13.7,5.69,24,17.5,Uğursuz,Digər,0.48,6.17,2.21,
202,2023-07-31,2,21,18,553,Elektronika,11.9,13.03,4,4.1,Gecikmiş,,0.42,5.76,12.45,3.7
203,2025-03-15,6,56,87,1296,Elektronika,8.9,9.35,24,22.6,Vaxtında,,0.31,4.6,9.43,3.9
204,2023-08-22,5,51,61,989,Mebel/İri həcmli,19.3,0.88,48,7.3,Vaxtında,,1.74,11.84,24.43,4.6
205,2024-04-09,6,65,75,747,Geyim,22.3,0.74,24,11.8,Vaxtında,,2.9,17.95,34.52,4.8
206,2025-01-20,5,52,64,1261,Kosmetika,8.1,6.29,48,37.6,Vaxtında,,1.78,10.3,19.79,5.0
207,2023-08-11,3,29,43,1228,Geyim,6.6,11.86,48,22.8,Vaxtında,,0.86,6.51,15.77,3.8
208,2024-09-22,3,32,39,669,Kosmetika,8.2,2.5,24,16.9,Vaxtında,,0.29,4.14,10.04,4.6
209,2025-04-04,1,11,17,1187,Qida,21.7,5.81,24,17.8,Vaxtında,,0.76,8.97,20.49,4.5
210,2023-09-21,4,41,57,985,Qida,12.6,6.26,4,2.8,Vaxtında,,0.44,5.8,12.29,5.0
211,2023-07-26,3,35,42,1073,Sənəd,17.4,3.72,24,10.7,Vaxtında,,1.57,10.88,24.24,3.5
212,2024-08-29,3,31,45,159,Sənəd,14.1,5.8,4,4.7,Gecikmiş,,1.27,9.13,19.38,3.1
213,2025-06-03,4,36,50,214,Sənəd,11.8,1.36,48,38.6,Vaxtında,,0.41,5.37,12.22,3.7
214,2025-01-03,2,15,30,523,Elektronika,9.9,14.42,24,17.5,Vaxtında,,0.35,5.1,11.84,4.7
215,2024-01-01,3,28,43,716,Kosmetika,21.4,4.98,48,62.1,Gecikmiş,,1.93,13.12,25.93,2.9
216,2023-10-03,2,15,20,962,Elektronika,8.8,7.44,48,32.8,Vaxtında,,0.31,4.5,12.01,4.4
217,2024-01-15,4,36,58,927,Elektronika,26.7,13.35,24,15.1,Vaxtında,,0.93,10.95,24.87,5.0
218,2025-01-12,5,50,70,1185,Kosmetika,6.1,7.23,72,45.0,Vaxtında,,0.55,4.77,11.17,5.0
219,2023-11-05,5,53,70,101,Sənəd,14.7,2.33,24,20.0,Vaxtında,,1.91,12.29,23.79,5.0
220,2024-09-22,5,46,70,393,Mebel/İri həcmli,16.7,13.04,24,9.6,Vaxtında,,0.58,7.44,16.46,4.0
221,2023-09-25,1,7,6,624,Qida,5.9,6.03,24,13.9,Vaxtında,,0.53,4.63,11.39,4.7
222,2025-02-23,6,59,71,1058,Qida,13.4,8.1,48,38.7,Vaxtında,,0.47,6.13,13.83,5.0
223,2023-03-05,1,10,9,1112,Elektronika,13.4,2.47,48,45.2,Vaxtında,,1.74,11.32,23.01,4.5
